"Year","Country", "Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index"
2015,Georgia,65,26.2,78,62.6,39.6,15.2,38,58.8,-
2019,Georgia,120.9,33.2,80.1,51.3,28.8,12.7,34.3,72.5,84.2
2020,Georgia,115.9,24.9,79.8,51.2,28.5,14.2,36,71.1,84.2
2021,Georgia,118.9,25.7,77.4,53.8,28,14.2,35.4,69.7,88.5
2022,Georgia,121.1,31.1,75.7,54.2,30.2,12,35.4,69.3,84.2
2023,Georgia,118.6,25.9,74.1,54.8,38.9,13.3,35.7,67.8,88.5
2024,Georgia,117.6,27.9,73.9,54.5,37.2,13,38.9,68.4,88.5
2025,Georgia,124.9,40.8,73.7,55.6,30.4,12.7,38.4,67.8,88.5
2026,Georgia,126.6,44.2,73.8,56.3,33.1,13,37,67.8,88.5

