"Year","Country","Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index"
2014,"Israel",91.2,69.3,66.7,75.4,91.5,12.8,46.4,63.8,"-"
2015,"Israel",120.4,88.2,69.6,76.4,79.3,10.7,41.2,65.2,"-"
2016,"Israel",166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9
2017,"Israel",157.9,94.5,71,74.8,77.7,10.9,36.5,61.7,81
2018,"Israel",152.2,102.3,63.1,74.1,86.5,13.9,36.7,60.3,93.6
2019,"Israel",153.8,92.5,67.8,73.4,74.3,14,36.3,57.3,93.8
2020,"Israel",149.9,78.1,70.4,73.3,81.2,12.8,35.9,57.2,93.8
2021,"Israel",144.1,70.4,68.8,73.8,86.6,13.7,35.8,58.4,93.8
2022,"Israel",146.1,75.6,67.9,73.8,88.1,13.5,36.4,57.7,94
2023,"Israel",148.4,80.5,67.4,73.5,76.4,14.1,36.4,57.4,93.9
2024,"Israel",148.9,79.5,67.6,73.5,67.2,14.2,36.8,57,93.8
2025,"Israel",163.6,113.3,68.2,73.2,65.2,13.7,36.5,56.8,93.8
2026,"Israel",167.7,123.1,68.2,73.4,79.7,12.2,36.8,56.5,93.8
