"Year","Country","Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index"
2014,"Netherlands",161,97.5,62.9,66.2,98.8,6.1,35.1,32.4,"-"
2015,"Netherlands",166.8,102,64.6,67.2,86,6.2,35.5,35,"-"
2016,"Netherlands",192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3
2017,"Netherlands",175.2,86.5,70.1,82.5,72.5,8.5,33.9,27.6,61.9
2018,"Netherlands",191.3,109.5,71.1,81.1,82.7,6.7,32.7,27.2,86.9
2019,"Netherlands",188.9,102.5,71.4,77.8,74.8,7.4,29.9,27.4,87.5
2020,"Netherlands",183.7,90.7,72.4,74.6,73.7,7.5,29.4,27.4,87.6
2021,"Netherlands",183.3,83.9,72.8,75.8,78.6,7.4,27.8,25.3,87.1
2022,"Netherlands",185.4,88,72.1,75.6,75.7,7.2,27.4,25.1,87.1
2023,"Netherlands",196.7,107.8,72.7,77.1,68.6,7.2,25.5,23.7,86.8
2024,"Netherlands",198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1
2025,"Netherlands",211.3,134.5,73.1,79.3,60.5,7.7,23.5,21.6,87.2
2026,"Netherlands",213.6,136.6,74.5,81.5,73.4,7.5,22.3,20.9,86.9
