"Year","Country","Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index"
2014,"Ukraine",22.2,31,50.6,47.1,45.6,16,41.9,73.3,"-"
2015,"Ukraine",20.1,27.9,50.6,44.3,41.3,17.4,40,69.9,"-"
2016,"Ukraine",85.6,29.7,51.4,49.7,28.6,26.2,40,67.8,50.4
2017,"Ukraine",87.5,26.9,48.7,49.8,26.2,22.9,39.2,67.3,49.9
2018,"Ukraine",96,30.2,50.6,50.1,26,18.2,38.5,67.2,70.2
2019,"Ukraine",102.3,32.7,51.1,51,27.9,14.3,37.4,66.6,70.7
2020,"Ukraine",104.8,31.8,51.1,52.3,33.2,12.2,38.7,65.1,71.4
2021,"Ukraine",107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8
2022,"Ukraine",111.9,37.2,53.1,54.3,30.7,10.9,37.7,62.9,70.7
2023,"Ukraine",112.5,38.1,53.3,55.2,25.6,12.2,37.8,62.1,70.7
2024,"Ukraine",107.2,32.2,53.1,55.4,28.6,15,37.7,61.8,70.7
2025,"Ukraine",115,47.4,53,55.9,24.6,13.6,37.9,62.1,70.7
2026,"Ukraine",117.1,51.1,53.1,55.8,28.2,12.8,37.8,62.2,71.3
