"Year","Country", "Quality.of.Life.Index","Purchasing.Power.Index","Safety.Index","Health.Care.Index","Cost.of.Living.Index","Property.Price.to.Income.Ratio","Traffic.Commute.Time.Index","Pollution.Index","Climate.Index"
2015,Georgia,65,26.2,78,62.6,39.6,15.2,38,58.8,-
2019,Georgia,120.9,33.2,80.1,51.3,28.8,12.7,34.3,72.5,84.2
2020,Georgia,115.9,24.9,79.8,51.2,28.5,14.2,36,71.1,84.2
2021,Georgia,118.9,25.7,77.4,53.8,28,14.2,35.4,69.7,88.5
2022,Georgia,121.1,31.1,75.7,54.2,30.2,12,35.4,69.3,84.2
2023,Georgia,118.6,25.9,74.1,54.8,38.9,13.3,35.7,67.8,88.5
2024,Georgia,117.6,27.9,73.9,54.5,37.2,13,38.9,68.4,88.5
2025,Georgia,124.9,40.8,73.7,55.6,30.4,12.7,38.4,67.8,88.5
2026,Georgia,126.6,44.2,73.8,56.3,33.1,13,37,67.8,88.5
2014,"Greece",77.5,44.3,57,59,83.8,11.7,37,45.3,"-"
2015,"Greece",94.7,51.9,58.6,56.7,68.9,9.7,33.2,44.9,"-"
2016,"Greece",165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1
2017,"Greece",148.3,58.2,59.7,53.9,55.9,8.3,31.6,52,87.3
2018,"Greece",137.4,53.8,60.9,54.2,63.2,9.5,32.2,52.8,92.6
2019,"Greece",137.8,49.6,61.4,55.2,56.7,9.8,32.2,51.9,94.2
2020,"Greece",133.1,43.7,59.7,56.2,55.7,10.6,33.8,52.5,94.2
2021,"Greece",129.9,38.9,55.9,57,61,10.1,33.9,51.9,94.2
2022,"Greece",129.2,39.7,52.6,57.3,56.2,10.1,33.8,51.9,94.2
2023,"Greece",128.6,41.9,53,57.5,54.6,11.5,33.7,51.6,91.8
2024,"Greece",127.2,42.1,53.3,57.3,54.2,13.6,33.6,52,93.8
2025,"Greece",138.1,60.7,53.6,58.5,46.5,13,32.8,49.4,91.8
2026,"Greece",140.8,65.4,53.8,58.9,54,12.5,32.3,49.2,93
2014,"Israel",91.2,69.3,66.7,75.4,91.5,12.8,46.4,63.8,"-"
2015,"Israel",120.4,88.2,69.6,76.4,79.3,10.7,41.2,65.2,"-"
2016,"Israel",166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9
2017,"Israel",157.9,94.5,71,74.8,77.7,10.9,36.5,61.7,81
2018,"Israel",152.2,102.3,63.1,74.1,86.5,13.9,36.7,60.3,93.6
2019,"Israel",153.8,92.5,67.8,73.4,74.3,14,36.3,57.3,93.8
2020,"Israel",149.9,78.1,70.4,73.3,81.2,12.8,35.9,57.2,93.8
2021,"Israel",144.1,70.4,68.8,73.8,86.6,13.7,35.8,58.4,93.8
2022,"Israel",146.1,75.6,67.9,73.8,88.1,13.5,36.4,57.7,94
2023,"Israel",148.4,80.5,67.4,73.5,76.4,14.1,36.4,57.4,93.9
2024,"Israel",148.9,79.5,67.6,73.5,67.2,14.2,36.8,57,93.8
2025,"Israel",163.6,113.3,68.2,73.2,65.2,13.7,36.5,56.8,93.8
2026,"Israel",167.7,123.1,68.2,73.4,79.7,12.2,36.8,56.5,93.8
2014,"Netherlands",161,97.5,62.9,66.2,98.8,6.1,35.1,32.4,"-"
2015,"Netherlands",166.8,102,64.6,67.2,86,6.2,35.5,35,"-"
2016,"Netherlands",192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3
2017,"Netherlands",175.2,86.5,70.1,82.5,72.5,8.5,33.9,27.6,61.9
2018,"Netherlands",191.3,109.5,71.1,81.1,82.7,6.7,32.7,27.2,86.9
2019,"Netherlands",188.9,102.5,71.4,77.8,74.8,7.4,29.9,27.4,87.5
2020,"Netherlands",183.7,90.7,72.4,74.6,73.7,7.5,29.4,27.4,87.6
2021,"Netherlands",183.3,83.9,72.8,75.8,78.6,7.4,27.8,25.3,87.1
2022,"Netherlands",185.4,88,72.1,75.6,75.7,7.2,27.4,25.1,87.1
2023,"Netherlands",196.7,107.8,72.7,77.1,68.6,7.2,25.5,23.7,86.8
2024,"Netherlands",198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1
2025,"Netherlands",211.3,134.5,73.1,79.3,60.5,7.7,23.5,21.6,87.2
2026,"Netherlands",213.6,136.6,74.5,81.5,73.4,7.5,22.3,20.9,86.9
2014,"Ukraine",22.2,31,50.6,47.1,45.6,16,41.9,73.3,"-"
2015,"Ukraine",20.1,27.9,50.6,44.3,41.3,17.4,40,69.9,"-"
2016,"Ukraine",85.6,29.7,51.4,49.7,28.6,26.2,40,67.8,50.4
2017,"Ukraine",87.5,26.9,48.7,49.8,26.2,22.9,39.2,67.3,49.9
2018,"Ukraine",96,30.2,50.6,50.1,26,18.2,38.5,67.2,70.2
2019,"Ukraine",102.3,32.7,51.1,51,27.9,14.3,37.4,66.6,70.7
2020,"Ukraine",104.8,31.8,51.1,52.3,33.2,12.2,38.7,65.1,71.4
2021,"Ukraine",107.4,30.1,51.7,53.4,29.2,10.8,37.9,64.3,70.8
2022,"Ukraine",111.9,37.2,53.1,54.3,30.7,10.9,37.7,62.9,70.7
2023,"Ukraine",112.5,38.1,53.3,55.2,25.6,12.2,37.8,62.1,70.7
2024,"Ukraine",107.2,32.2,53.1,55.4,28.6,15,37.7,61.8,70.7
2025,"Ukraine",115,47.4,53,55.9,24.6,13.6,37.9,62.1,70.7
2026,"Ukraine",117.1,51.1,53.1,55.8,28.2,12.8,37.8,62.2,71.3
