"","museums_names","addreses","info_museums","refs_museums"
"1","Краснодарский краевой художественный музей им. Ф.А. Коваленко","Краснодарский край, г. Краснодар, ул. Красная, д. 13","Краснодарский краевой художественный музей — старейший на Северном Кавказе. Он был открыт в 1904 году. Его основатель Федор Акимович Коваленко подарил городу свою коллекцию картин, книг и археологических ценностей.В настоящее время фонд музея насчитывает более 13 000 произведений живописи, графики, скульптуры, декоративно-прикладного искусства. Коллекция русского искусства представлена работами от основных школ иконописи — новгородской, московской, северной — до наиболее смелых творческих исканий 20–30-х годов ХХ века, объединенных общим названием «авангард». Особо ценные направления, представленные в коллекции музея, — русский авангард, японская цветная ксилография (XVIII — середина XIX века), искусство Нидерландов XVI века, русская и советская живопись, а также экслибрис (XVIII–XX века).В настоящее время выставочные площади музея дополнены виртуальным пространством с использованием сенсорных панелей и интерактивной книги «Хроника музейной жизни. Страницы истории». ","/institutes/11694/krasnodarskii-kraevoi-khudozhestvennyi-muzei-im-f-a-kovalenko"
"2","Краснодарский государственный историко-археологический музей-заповедник им. Е.Д. Фелицына","Краснодарский край, г. Краснодар, ул. Гимназическая, д. 67","Краснодарский государственный историко-археологический музей-заповедник — один из первых музеев на территории Северного Кавказа. Музей располагает ценными коллекциями палеонтологии, нумизматики, этнографии, чернолаковой и краснолаковой древнегреческой керамики, торевтики. Здесь представлены образцы ювелирного искусства как мастеров прошлого, так и современных ювелиров, собрание оружия от эпохи каменного века до современности, материалы, посвященные заселению в XVIII веке Кубани запорожскими казаками. В лапидарии музея хранится одна из лучших в мире коллекций половецких изваяний. Здесь можно не только прикоснуться к истории родного края и страны, но и получить множество новых впечатлений и знаний, ведь в стенах музея проходят увлекательные выставки и экскурсии, лекции и мастер-классы. Музей имени Фелицына — пространство, в котором постигать окружающий мир можно разными, но неизменно интересными способами.","/institutes/10225/krasnodarskii-gosudarstvennyi-istoriko-arkheologicheskii-muzei-zapovednik-im-e-d-felicyna"
"3","Литературный музей Кубани","Краснодарский край, г. Краснодар, ул. Постовая, д. 39/1","Литературный музей Кубани был открыт 1 сентября 1988 года. Расположен в памятнике архитектуры первой четверти XIX века — доме наказного атамана Черноморского казачьего войска Я.Г. Кухаренко, одного из первых кубанских литераторов. Экспозиция музея представляет литературную жизнь Кубани с первой половины XVIII века до современности. Пройдя по залам музея, посетители познакомятся с уникальными рукописными и старопечатными книгами, с коллекцией кубанских дореволюционных периодических изданий, с историко-этнографическими очерками известных исследователей края: И. Попки, Ф. Щербины, Е. Фелицына, П. Короленко, с материалами, рассказывающими о пребывании на Кубани Д. Бедного, В. Вишневского, В. Маяковского, Н. Островского, кубанских писателей — участников Великой Отечественной войны и современных кубанских литераторов. Один из разделов музея посвящен бывшему хозяину — Я.Г. Кухаренко. В экспозиции представлены книги, документы, рассказывающие о жизни этой замечательной семьи, и многое другое. Особое место в экспозиции заняла часть библиотеки, находившейся на борту торпедного катера, погибшего во время Керченско-Эльтигенской операции в ноябре 1943 года. Они были подняты подводной экспедицией музея-заповедника в 2012 году. Сотрудники музея проводят обзорные и тематические экскурсии, лекции и музейные уроки, лекции с практическим занятием, литературные вечера, встречи с кубанскими прозаиками и поэтами, стационарные и передвижные выставки.","/institutes/26338/literaturnyi-muzei-kubani"
"4","Краснодарский краевой выставочный зал изобразительных искусств","Краснодарский край, г. Краснодар, ул. Рашпилевская, д. 32","Краснодарский краевой выставочный зал изобразительных искусств образован в 1989 году и является крупнейшим экспозиционным центром на юге России. Зал расположен в исторической зоне Краснодара, в самом центре административной, культурной и деловой части города. Экспозиционная площадь — 1 100 кв. м. Ежегодно здесь организуется до 80 выставок (международных, региональных, краевых, городских, групповых, персональных), художественных проектов и акций. Но преимущественно выставляются живописцы, графики, скульпторы и мастера декоративно-прикладного искусства Кубани.Выставочный зал сотрудничает с государственными организациями и частными структурами, занимающимися выставочной деятельностью на территории России и за рубежом. Учреждение готово к творческим контактам и приглашает российские и зарубежные музеи, галереи, выставочные залы к взаимовыгодному сотрудничеству: совместные организации передвижных выставок, проектов (в том числе коммерческих), презентаций, концертов, PR-акций.","/institutes/22237/krasnodarskii-kraevoi-vystavochnyi-zal-izobrazitelnykh-iskusstv"
"5","Музей почтовой связи на Кубани","Краснодарский край, г. Краснодар, ул. Карасунская, д. 68","Музей почтовой связи является единственным музеем такого профиля в Краснодарском крае. Он создан при активном участии работников и ветеранов почтовой отрасли. Его открытие состоялось 16 октября 2006 года. Здание Краснодарского почтамта, где расположен Музей почтовой связи на Кубани, введено в эксплуатацию 15 ноября 1915 года. Авторами проекта Екатеринодарской почтово-телеграфной конторы стали ведущие зодчие города: А.П. Косякин (1875-1919) и И.К. Мальгерб (1862-1938). Во время второй мировой войны здание было разрушено, а затем восстановлено в первоначальном виде. Сегодня это одно из красивейших зданий города, являющееся памятником архитектуры.Фондовая коллекция Музея почтовой связи на Кубани насчитывает свыше 400 экспонатов, которые собиралась в течение десяти лет буквально по крупицам. В нее вошли редкие архивные документы и фотографии, первые почтовые марки, открытки и конверты, документы времен Великой Отечественной войны, а также раритетные экспонаты — униформа почтальонов 50-70-х гг., мундир почтмейстера XIX века, сумки почтальонов разных временных периодов, стартостопный телеграфный аппарат, электромагнитный штемпелевальный аппарат, сургучница, макет почтового двора. Здесь же воссоздано рабочее место почтмейстера XIX века, размещены манекены.","/institutes/12350/muzei-pochtovoi-svyazi-na-kubani"
"6","Мемориальный музей-квартира народного артиста СССР Г.Ф. Пономаренко","Краснодарский край, г. Краснодар, ул. Красная, д. 204","Мемориальный музей бережно сохраняет и популяризирует музыкальное наследие выдающегося советского композитора, народного артиста СССР Григория Федоровича Пономаренко.Знакомясь с экспозицией музея, посетители узнают о его жизненном и творческом пути, гастрольной деятельности. Прославивший в своих произведениях Россию и Кубань, Григорий Федорович был замечательным собеседником, любимым народом артистом, дружил с выдающимися людьми своего времени. Его песни исполняли народные артисты СССР Людмила Зыкина, Иосиф Кобзон, но высочайшее признание для автора это то, что их пел народ. В музыкальной гостиной можно прослушать записи его песен в исполнении любимых артистов. В музее регулярно проводятся встречи как с известными, так и с молодыми исполнителями, композиторами и музыкантами Кубани.","/institutes/21603/memorialnyi-muzei-kvartira-narodnogo-artista-sssr-g-f-ponomarenko"
"7","Музей «ЭйнштейниУм»","Краснодарский край, г. Краснодар, ул. им. Гаврилова П.М., д. 27","Музей занимательных наук «ЭйнштейниУм» — это первый в крае интерактивный музей для всей семьи, где экспонаты можно трогать руками. Он открыл двери для посетителей 1 сентября 2013 года. На площади в 550 квадратных метров собрано более 100 экспонатов!Взглянуть на такие науки, как физика, химия, математика, биология, в «ЭйнштейниУме» можно по-новому. В музее и дети, и взрослые сами могут проводить опыты. К примеру, дотронуться до молнии или создать облако, узнать, какой длины кишечник человека, или заставить кипеть холодную воду.Экскурсия по «ЭйнштейниУму» занимает полтора часа. Каждую группу любознательных и готовых к играм и открытиям школьников, учителей и родителей сопровождают экскурсоводы, готовые помочь разобраться в любой головоломке. «ЭйнштейниУм» создан для того, чтобы школьники стремились найти в повседневной учебе интересное и необычное. Миссия музея — научить ребят творить и изобретать, помочь им определиться с тем, что они захотят изучать в университете и чем будут заниматься во взрослой жизни. В «ЭйнштейниУме» каждый сможет убедиться, что длинные формулы и сложные примеры могут быть интересными, главное ведь, как на них посмотреть!Сегодня «ЭйнштейниУм» — это научно-развлекательный музей, где проводятся научные экскурсии, интерактивные шоу-программы, тематические дни рождения, новогодние спектакли и многое другое! В центре работает сувенирная лавка и кафе.","/institutes/97538/muzei-einshteinium"
"8","Краснодарский союз художников","Краснодарский край, г. Краснодар, ул. Октябрьская, д. 51","Организация ведет свою историю с 1938 года. На I конференции художников Краснодарского края было создано Краснодарское краевое отделение Союза художников РСФСР. Его деятельность заключалась в развитии изобразительного искусства и творческого роста художников региона.Союз объединил в один творческий коллектив художников Краснодарского края. За долгие годы своей яркой жизни он стал настоящей жемчужиной Кубани. Творчество членов союза неоднократно отмечалось высокими наградами. Свидетельством признания их творческих и общественных заслуг является присуждение почетных званий. Сегодня в залах регулярно проходят выставки классического и современного искусства, лекции и творческие встречи. ","/institutes/97634/krasnodarskii-soyuz-khudozhnikov"
"9","Исторический парк «Россия — моя история»","Краснодарский край, г. Краснодар, ул. Конгрессная, д. 2","Мультимедийный исторический парк в Краснодаре открылся 4 ноября 2018 года и входит в сеть из 26 аналогичных парков по всей России. За первые 6 с половиной лет работы парк посетили более 750 000 человек, ежегодно его выбирают около 150 000 посетителей, здесь проводится более 1 500 экскурсий.Исторический парк «Россия — моя история» представляет собой мультимедийный комплекс, предлагающий как обзорные, так и тематические экскурсии. Комплекс занимает площадь 7 500 кв. м, где гармонично сочетаются новейшие технологии подачи информации: представлено более 900 мультимедийных систем и 46 интерактивных залов, дополненных аудиториями для лекций, презентаций, киносеансов и занятий молодежных кружков по истории и краеведению.Выставка построена с применением инновационных методов визуализации: видеоинфографики, анимации, трехмерного моделирования и цифровой реконструкции. Всего выставка делится на четыре крупные части:«Рюриковичи»;«Романовы»;«От великих потрясений к Великой Победе. 1914–1945»;«Россия — моя история. 1945–XXI век».Дополнительно экспозиция дополняется информацией о знаменитых уроженцах Краснодарского края и историческими панорамами родного города Краснодара.","/institutes/101909/istoricheskii-park-rossiya-moya-istoriya"
"10","Рязанский музей путешественников г. Краснодара","Краснодарский край, г. Краснодар, ул. им. Хакурате, д. 12","Рязанский музей путешественников — это уникальная культурная площадка, расположенная в Краснодаре и посвященная архипелагу человеческих открытий и приключений. Музей предлагает своим посетителям погрузиться в мир удивительных путешествий, истории великих исследователей и многообразия культурных традиций разных народов.  Каждая выставка рассказывает свою уникальную историю. Музей также проводит различные мастер-классы. Здесь можно не только получить знания о великих открытиях, но и ощутить дух приключений, узнать о географии и культуре разных стран. Рязанский музей путешественников — это место, где каждый посетитель сможет найти вдохновение и новые идеи для собственных путешествий. ","/institutes/103693/ryazanskii-muzei-puteshestvennikov-g-krasnodara"
