,year,country,school_id,student_id,mother_educ,father_educ,gender,computer,internet,math,read,science,stu_wgt,desk,room,dishwasher,television,computer_n,car,book,wealth,escs
1,2000,GRC,1049,5,NA,NA,female,NA,no,241.16,377.87,336.64,157.1999,yes,no,yes,1,0,0,51-100,-1.84,-0.461599677827683
2,2000,GRC,1080,20,NA,NA,male,NA,no,394.54,415.09,492.63,157.1999,yes,yes,no,2,1,1,more than 500,-0.12,0.709225638623969
3,2000,GRC,1119,32,NA,NA,male,NA,no,NA,616.55,595.11,157.1999,yes,yes,yes,3+,1,1,51-100,-0.12,0.274926034898654
4,2000,GRC,1147,46,NA,NA,female,NA,NA,180.86,330.61,278.01,216.1499,yes,yes,yes,3+,0,1,11-50,-0.39,-0.882103830377328
5,2000,GRC,5023,58,NA,NA,male,NA,no,NA,375.06,374.85,102.4661,yes,no,no,1,0,0,none,-2.31,-1.51822400304084
6,2000,GRC,6040,70,NA,NA,male,NA,no,NA,306.6,376.8,149.4297,no,no,yes,2,0,1,1-10,-0.6,-0.345577381878421
7,2000,GRC,6074,85,NA,NA,female,NA,no,NA,385.33,417.2,156.0001,yes,yes,yes,3+,0,1,11-50,-0.57,-2.00911770216426
8,2000,GRC,7051,97,NA,NA,male,NA,no,NA,349.32,294.72,160.8012,yes,yes,no,3+,0,2,11-50,-0.12,-1.74952089384732
9,2000,GRC,9152,109,NA,NA,male,NA,no,254.87,283.3,246.37,129.038,yes,yes,no,2,0,1,11-50,-1.13,-0.252163111326449
10,2000,GRC,10004,119,NA,NA,female,NA,no,NA,527.12,485.76,74.3877,yes,yes,no,1,0,1,51-100,-1.46,-1.43428330324321
11,2000,GRC,10004,130,NA,NA,female,NA,no,NA,559.28,547.3,74.3877,yes,yes,no,2,1,2,251-500,-0.36,-0.278648165870299
12,2000,GRC,10021,151,NA,NA,female,NA,no,468.57,513.26,466.47,57.4814,yes,yes,yes,3+,0,1,1-10,-0.12,-0.373313150721967
13,2000,GRC,10021,164,NA,NA,female,NA,no,NA,604.12,613.89,57.4814,yes,yes,yes,2,0,0,101-250,-1.46,-0.0501172728540693
14,2000,GRC,10021,172,NA,NA,female,NA,no,434.23,548.71,502.56,57.4814,yes,no,no,2,0,1,251-500,-1.13,0.433865783591638
15,2000,GRC,10058,186,NA,NA,female,NA,no,476.2,460.54,484.52,46.2105,yes,yes,yes,3+,0,2,11-50,0.11,0.760285950086859
16,2000,GRC,10058,199,NA,NA,female,NA,no,NA,497.48,555.41,46.2105,yes,yes,no,1,0,1,101-250,-1.84,-1.80295384822325
17,2000,GRC,10058,210,NA,NA,female,NA,no,NA,384.77,352.45,46.2105,yes,yes,no,2,0,1,51-100,-0.85,-1.35461262345137
18,2000,GRC,10061,229,NA,NA,male,NA,yes,NA,422.6,428.03,99.2178,yes,yes,yes,3+,1,3+,51-100,1.14,1.63814740256473
19,2000,GRC,10061,240,NA,NA,male,NA,no,NA,512.93,468.82,99.2178,yes,yes,no,2,0,1,51-100,-1.46,-0.849050032923938
20,2000,GRC,10144,251,NA,NA,male,NA,no,NA,528.94,464.11,117.2171,yes,no,no,2,0,1,11-50,-1.46,-0.662822007905726
21,2000,GRC,10144,262,NA,NA,male,NA,no,NA,445.32,361.28,117.2171,yes,no,no,2,0,0,11-50,-2.31,-1.73919821968397
22,2000,GRC,10144,275,NA,NA,male,NA,no,NA,456.87,542.63,117.2171,yes,yes,yes,2,1,2,11-50,0.11,0.638659121596026
23,2000,GRC,10155,291,NA,NA,male,NA,no,413.62,306.93,340.18,57.4814,yes,no,no,2,0,1,11-50,-0.85,-1.65132344677542
24,2000,GRC,10155,305,NA,NA,female,NA,no,350.3,308.8,354.69,57.4814,yes,no,no,2,0,2,1-10,-1.46,-1.38240734946688
25,2000,GRC,10155,314,NA,NA,female,NA,no,NA,431.69,264.75,57.4814,yes,yes,no,2,0,1,11-50,-1.13,-1.93615052975622
26,2000,GRC,11001,329,NA,NA,male,NA,no,433.46,331.47,380.78,21.9375,yes,no,no,2,0,1,11-50,-1.13,-1.54061980853367
27,2000,GRC,11002,344,NA,NA,female,NA,no,NA,390.78,309.86,28.9714,yes,no,no,1,0,0,101-250,-2.31,-0.221845651068339
28,2000,GRC,11002,357,NA,NA,female,NA,no,NA,492.32,391.08,28.9714,yes,no,no,2,1,1,51-100,-0.36,-0.112771649325546
29,2000,GRC,11002,364,NA,NA,male,NA,no,NA,173.89,235.18,28.9714,no,no,no,0,0,0,none,-5.05,-5.18588970520388
30,2000,GRC,11003,377,NA,NA,female,NA,no,354.88,369.69,363.71,31.1999,yes,no,no,3+,0,1,more than 500,-1.46,-1.22094777285454
31,2000,GRC,11003,390,NA,NA,female,NA,no,NA,526.56,471.52,31.1999,yes,no,no,1,0,0,101-250,-2.31,-1.82566773145038
32,2000,GRC,11003,401,NA,NA,male,NA,yes,NA,384.15,380.26,31.1999,yes,yes,yes,2,1,2,11-50,0.11,-0.424373462184856
33,2000,GRC,11007,416,NA,NA,female,NA,no,487.65,506.89,457.45,44.5714,yes,no,no,1,0,1,1-10,-2.31,-1.96395387580318
34,2000,GRC,11007,424,NA,NA,male,NA,no,336.56,510.58,424.15,44.5714,yes,yes,no,2,NA,0,1-10,-0.55,-1.45336976367731
35,2000,GRC,11007,437,NA,NA,female,NA,no,495.28,550.52,542.25,44.5714,yes,no,yes,1,1,2,251-500,-0.85,0.78271168125435
36,2000,GRC,11008,449,NA,NA,male,NA,yes,NA,565.65,411.08,100.3972,yes,yes,yes,2,1,2,51-100,0.59,0.203078248798688
37,2000,GRC,11008,465,NA,NA,male,NA,yes,522.03,431.5,517.96,100.3972,yes,yes,yes,3+,2,3+,51-100,1.84,0.636082514792007
38,2000,GRC,11009,479,NA,NA,male,NA,NA,NA,541.67,584.99,75.2143,yes,yes,yes,2,1,1,51-100,-0.11,0.319621957275563
39,2000,GRC,11009,492,NA,NA,male,NA,yes,375.46,501.44,505.26,75.2143,yes,yes,no,3+,1,2,51-100,0.85,1.77040319151882
40,2000,GRC,11009,502,NA,NA,male,NA,no,532.68,605.06,565.7,75.2143,yes,no,no,1,0,1,11-50,-1.84,-0.374631442225083
41,2000,GRC,11012,515,NA,NA,female,NA,yes,507.53,525.12,507.14,37.8857,yes,yes,yes,3+,3+,2,101-250,2.36,1.93207257058324
42,2000,GRC,11012,527,NA,NA,female,NA,no,NA,537.76,558.87,37.8857,yes,yes,no,1,0,1,51-100,-1.46,1.03020315534157
43,2000,GRC,11015,541,NA,NA,male,NA,no,NA,513.84,453.48,21.8637,yes,yes,yes,2,1,1,51-100,0.11,-1.1450217751874
44,2000,GRC,11015,553,NA,NA,male,NA,yes,NA,408.69,428.97,21.8637,yes,yes,yes,2,1,1,251-500,0.11,1.29089513800013
45,2000,GRC,11015,566,NA,NA,male,NA,no,NA,467.13,488.47,21.8637,yes,no,no,3+,0,3+,11-50,-0.36,-0.0578547201819443
46,2000,GRC,11016,578,NA,NA,male,NA,no,NA,534.74,520.23,33.9858,yes,yes,no,1,0,1,11-50,-1.84,-0.159102027732265
47,2000,GRC,11016,595,NA,NA,male,NA,no,NA,442.03,411.08,33.9858,yes,no,no,1,1,2,101-250,-0.6,-1.919543008151
48,2000,GRC,11016,604,NA,NA,male,NA,no,NA,531.11,508.51,33.9858,yes,yes,no,1,0,0,251-500,-2.31,-0.848465233626091
